station,hour,value
1043,21,34
1043,22,27
1043,23,25
1044,24,4
1044,1,3
1044,2,2
1044,3,1
1044,4,0
1044,5,1
1044,6,4
1044,7,26
1044,8,88
1044,9,109
1044,10,118
1044,11,109
1044,12,92
1044,13,103
1044,14,89
1044,15,75
1044,16,65
1044,17,81
1044,18,82
1044,19,56
1044,20,41
1044,21,36
1044,22,19
1044,23,23
1045,24,49
1045,1,12
1045,2,1
1045,3,3
1045,4,2
1045,5,10
1045,6,74
1045,7,114
1045,8,108
1045,9,175
1045,10,366
1045,11,478
1045,12,545
1045,13,549
1045,14,532
1045,15,533
1045,16,541
1045,17,495
1045,18,554
1045,19,430
1045,20,258
1045,21,174
1045,22,110
1045,23,80
1046,24,17
1046,1,5
1046,2,8
1046,3,2
1046,4,1
1046,5,0
1046,6,12
1046,7,50
1046,8,57
1046,9,79
1046,10,122
1046,11,153
1046,12,154
1046,13,187
1046,14,203
1046,15,146
1046,16,141
1046,17,159
1046,18,151
1046,19,122
1046,20,85
1046,21,52
1046,22,69
1046,23,22
1047,24,21
1047,1,24
1047,2,22
1047,3,1
1047,4,7
1047,5,41
1047,6,63
1047,7,85
1047,8,155
1047,9,49
1047,10,103
1047,11,123
1047,12,148
1047,13,193
1047,14,164
1047,15,174
1047,16,135
1047,17,168
1047,18,202
1047,19,145
1047,20,72
1047,21,78
1047,22,43
1047,23,22
1048,24,18
1048,1,17
1048,2,5
1048,3,4
1048,4,1
1048,5,3
1048,6,35
1048,7,205
1048,8,163
1048,9,112
1048,10,125
1048,11,184
1048,12,196
1048,13,247
1048,14,201
1048,15,189
1048,16,190
1048,17,255
1048,18,231
1048,19,230
1048,20,190
1048,21,100
1048,22,34
1048,23,20
1049,24,37
1049,1,27
1049,2,39
1049,3,6
1049,4,1
1049,5,10
1049,6,83
1049,7,308
1049,8,361
1049,9,116
1049,10,132
1049,11,153
1049,12,294
1049,13,222
1049,14,245
1049,15,230
1049,16,209
1049,17,205
1049,18,250
1049,19,208
1049,20,129
1049,21,78
1049,22,49
1049,23,33
1050,24,0
1050,1,0
1050,2,2
1050,3,1
1050,4,0
1050,5,1
1050,6,0
1050,7,10
1050,8,18
1050,9,89
1050,10,88
1050,11,142
1050,12,141
1050,13,125
1050,14,127
1050,15,110
1050,16,75
1050,17,77
1050,18,29
1050,19,28
1050,20,0
1050,21,1
1050,22,0
1050,23,0
1051,24,0
1051,1,0
1051,2,0
1051,3,0
1051,4,0
1051,5,0
1051,6,0
1051,7,1
1051,8,3
1051,9,0
1051,10,2
1051,11,4
1051,12,1
1051,13,5
1051,14,7
1051,15,0
1051,16,0
1051,17,2
1051,18,0
1051,19,0
1051,20,0
1051,21,0
1051,22,0
1051,23,0
